llm_row_number,article_id_schema,sentence_id_schema,stable_sentence_id,stable_article_id,party_mentioned
14332,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_d295eff06d3b58a5158ec4b75eb67748e9f294438b3aa2d88e4db9225573e27b,art_v1_04b544aca5a6565368197af0e6f083c961a4ffbfe3fef243cec6d159bfd0229a,democrat
14333,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_51f4758e0bf0c049c96fa1d5f122172e7c9fb5b5ccc77ef6a5a43cb0ec4ea257,art_v1_77b4dc96fb36bd47aa2862fad5e12cb461b2bfec21aa0958c17d48b9e2ed47b3,republican
14334,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_4bc9d45b9c4b3893e148f6965155a5e704fee3ead67d0f323a3acb39d90e07df,art_v1_77b4dc96fb36bd47aa2862fad5e12cb461b2bfec21aa0958c17d48b9e2ed47b3,republican
14335,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_e02689ceba793a0403b8cd4b58a7c6807a1d2e37ed31faa4285bebc1e7217150,art_v1_77b4dc96fb36bd47aa2862fad5e12cb461b2bfec21aa0958c17d48b9e2ed47b3,democrat
14336,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_20af5a333920aab8fe20b6cf019f74a3c2dc4fffeeca351b1482bc4e810252ea,art_v1_1cd9fd4f946ceb7126005466de56ba3f0fb08de0c1db0bae8e688d48ed2b3367,democrat
14337,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_76b69028dbcb785f115b54fc04be700bb76ae08272376429f86c7ca07d349167,art_v1_1cd9fd4f946ceb7126005466de56ba3f0fb08de0c1db0bae8e688d48ed2b3367,democrat
14338,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_c9c5c0a241eaf55f40caca49124904044854c9c1a6a9b72c321611ee891f246d,art_v1_65b6ec1ab746fa40a9b7b6328ebe4fa0c8549766c617b2d55a8e172c5b2a0927,democrat
14339,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_1ec2510ff3e3f8b126f661b73ea8c4a45820118932de912fb625e9dbe7aff65a,art_v1_65b6ec1ab746fa40a9b7b6328ebe4fa0c8549766c617b2d55a8e172c5b2a0927,democrat
14340,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_8d999eaa2e2cb58ee0e37b61a15891fc53ac6242881bc88f23d1d45213103120,art_v1_65b6ec1ab746fa40a9b7b6328ebe4fa0c8549766c617b2d55a8e172c5b2a0927,democrat
14341,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_f8348d8397b50f3c1122d824586a4fc4e5f08e5e865e756c1194fc3e27be3268,art_v1_7b8a75e857a5fb0b2cf2b158e36b7f8e4a18fbf2050c97c54db146e74639d448,democrat
14342,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_bacac84b9f84c76c7e9f831ac5e0c70aeb6924e254d007913909eb9084320107,art_v1_379d7880727ef0c45e90f20065f70e38d59b1d833d5fc66d612ee39249847e64,democrat
14343,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_24063154c89e3a191bb1344faff73d1d2ef60db5d615e7e3b1a06abfeef0ce9e,art_v1_46fd0c0e3f71542fe0949debddabd00d59cfab64c94fdc77b2dd1e4fd358de78,democrat
14344,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_9efaa85fcbc379b273a6aff75c6315d9ba6a51969bef71643062c033bac8843d,art_v1_fdfaa78ecd3a2c47c3f9dea20107d358b7abb7d9417a30b8352f0a5b80b4f9a5,democrat
14345,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_90add99ea3e9c8d6035b03586388ebfe0ad9e248ff54ad3b3858da56bd527c25,art_v1_fdfaa78ecd3a2c47c3f9dea20107d358b7abb7d9417a30b8352f0a5b80b4f9a5,democrat
14346,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_75bb03c4024828c4a3db65f3271f3eca1c0d0dd9870f40488b05ee2db0cb03af,art_v1_fdfaa78ecd3a2c47c3f9dea20107d358b7abb7d9417a30b8352f0a5b80b4f9a5,democrat
14347,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_a69b92b616bf52509f0960590cd1e9dfd290767dc80beae9ec336649686b8aaa,art_v1_fdfaa78ecd3a2c47c3f9dea20107d358b7abb7d9417a30b8352f0a5b80b4f9a5,democrat
14348,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_f98a45b4ee2fd216f8139d39967379bbbbaef23a2df471485a93f66afc9dd0d8,art_v1_fdfaa78ecd3a2c47c3f9dea20107d358b7abb7d9417a30b8352f0a5b80b4f9a5,democrat
14349,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_d00237720e5d31867ab8f7a9ed00698b0e43fd302f28a8d16853c1f9cce0520a,art_v1_fbecb69802e42fe6103af92ee6d50127375aa8d5226f961913d7b1a2f80c73c8,democrat
14350,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_5795bd6eafcfbb453db2c76cd430e0babd4bec309373b1860e4176a048269d2f,art_v1_caaf9ff928f1d6cd9b9e903c6f98e7a4d2731f93083bcce7e2b2707a65658afe,democrat
14351,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_d97566a5f44b64558da0a390517e71cec7ec9d8359be30fa91502a0a7cffdd6a,art_v1_a4765351f2d08684becaa43e39baff05b7e0861535009ec860cd6983f4e2a286,democrat
14352,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_702f87450b99067cb659f883597f491ae193c73ace52ae2e31ccf7a280d9210b,art_v1_d15c3f0c2d2c9b14b6d8907fa1e27de1533064e7258c6668a4e4c70f507404d3,democrat
14353,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_0daa66b7d9f16e55cc694766c76759cdc60deca24f3d23d6f31dde8a4b7b66df,art_v1_d15c3f0c2d2c9b14b6d8907fa1e27de1533064e7258c6668a4e4c70f507404d3,democrat
14354,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_5d8a9970f40f14b8d1433caa4b128631bc027cb4c96348787db30fc74bc48291,art_v1_d15c3f0c2d2c9b14b6d8907fa1e27de1533064e7258c6668a4e4c70f507404d3,democrat
14355,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_11b8d0a96ab077b464836f269cabf9e9543b4afbf84a85b3026614059b327f5a,art_v1_d15c3f0c2d2c9b14b6d8907fa1e27de1533064e7258c6668a4e4c70f507404d3,democrat
14356,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_f42601045088de5d79eee8642d1deb9a5f57ca27c7f68626f151dacc5b3e74f5,art_v1_bbecc45b2974938aa05f170b67a80f8418bc05bdacf22c2881d3abe0014a479c,democrat
14357,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_3334e5bc8a6660a884b65b0192cdd10a3cbb8997501c2081b2e1bac9c9f7beee,art_v1_ea54062b215697b19607dc0da222207fabc9cc8b373d6a8a3f8c6153da655696,democrat
14358,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_9e4cc23d4ee0225c5c83674f0eac6a45c0e7986ee97de70a8a744602fc551961,art_v1_ea54062b215697b19607dc0da222207fabc9cc8b373d6a8a3f8c6153da655696,democrat
14359,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_b20ba8acbb79713b568661fb846fe083ac8367985962d2550dbb0c43f4948894,art_v1_2a8cc7b1a4c4eb1aa27cb2202c26f83a4ac296977839d0ee34f38d6e61037b0e,democrat
14360,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_daf1fa1490c6431f64085889b55116c95bf2a6291f94b7cf232b65d0ec4ea298,art_v1_2a8cc7b1a4c4eb1aa27cb2202c26f83a4ac296977839d0ee34f38d6e61037b0e,democrat
14361,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_7d2cd8c379377bdd85a49a25dc1b247e748c7bef108f30a993821cdeb956af43,art_v1_1d75f62d947e7cfc0fd8e188ad64a7354f2fbfbefabec22d4be4fa26d3289ba5,democrat
14362,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_d5697b0ba0182662cd92b55fd11e46a228935217b9b3737fcc67a223720d3999,art_v1_59fe58572868d0d979310180b04e8372d390b2037e4404dcaf3c7eabf1708deb,democrat
14363,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_f77776e708f3bfca5de6c6615630b72143e88f846f53743b5c595d1a53d9e08c,art_v1_59fe58572868d0d979310180b04e8372d390b2037e4404dcaf3c7eabf1708deb,democrat
14364,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_071a6a238ad0aa06fe2704288b5a19e5fd4d9f67ebb0cc84a5845ef8575c6e1c,art_v1_e4103bd93735caddb4b4464852bd0720f83f308c1416a7a1aa14d4185713af85,democrat
14365,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_af0ddd343e673a90381acb217bf80150273645549a82faabe256022e2d88656c,art_v1_4dd9fd3d7cfa9ee603186ffdc2ff884b7c0428116fb6c897e9d6c10f03579f9e,democrat
14366,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_742f1a083a3e01ed02c155731d1a88edc2c31cf480200a4c654c408a6b809912,art_v1_feedd2197d4ac7c05f0fdc0a5de7de26ab7ebeed514a3aa330e532559638894b,democrat
14367,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_1e7f2029059d7d3e91ff3dea65a62a8616b38911b2b71bda0c44363ec53c4ed7,art_v1_477070b7248481aed0fde1375cda84b671b0ce75a9d1c0371a18616cbd322e84,democrat
14368,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_f5d7c2146eac0c578477f76d59c0422e28ecdcfc0ba02e288a136f6ab941f6ae,art_v1_97bab6e70e0ea97f31b86063681b67e7ec40591f9f4540431186d5aa7afa6e75,republican
14369,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_fe6f34d794c3e79652fec45065583f993729563b8a526d584c8763c5f3e675f3,art_v1_97bab6e70e0ea97f31b86063681b67e7ec40591f9f4540431186d5aa7afa6e75,republican
14370,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_ce332f8cda6bb363b857f57717af976bbdce61d759c7b7ed51fd5accdf677751,art_v1_f55896484e342df0fa7320ad3b6edb11b4a971d96296d2eccd177e140ecb4f16,democrat
14371,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_1dc970013b1475d354fe235b689501bc9fe895493ceedcc74397a3363bcf9948,art_v1_f55896484e342df0fa7320ad3b6edb11b4a971d96296d2eccd177e140ecb4f16,democrat
14372,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_c3ed2c26579490842f350efac31f7c74328eca8d3fdded25c99657bd868bb3ba,art_v1_fd003e520333532025d0cc6af7bb78aebcf1328075894a29a617445083c2213f,republican
14373,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_f09a5e919e0e62f078645265f23c2184f82b9fd1eadc5b152d4d26b788081540,art_v1_d382755ea3677f113ff2b4d4923272cf91a6aa9f28e57d432d876d74ca9e76f4,republican
14374,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_ef973c8d9c1935e52531b7e6515db4e7d13b56ef856ba122f7e43614004a287e,art_v1_d382755ea3677f113ff2b4d4923272cf91a6aa9f28e57d432d876d74ca9e76f4,democrat
14375,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_ce75bc494f1123484174e6fb75ec8dc73c99951dcfff06ab9aeb44cc821d5bba,art_v1_d382755ea3677f113ff2b4d4923272cf91a6aa9f28e57d432d876d74ca9e76f4,democrat
14376,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_3aee532597c8f18a249ba57b73347a5fa3f6f05d2c7a0b6ee42f78c97cc0cd1c,art_v1_1efc0b27369c99c42387d85999868b7dc23c9d8c44d788351616d3b721686966,republican
14377,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_1a9154762f1e41b13463abc8eed552e8053ba0e8daa8a827dc8d4293293ce860,art_v1_1efc0b27369c99c42387d85999868b7dc23c9d8c44d788351616d3b721686966,democrat
14378,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_b4fad488034fd05872af885e49e71179e198b6bc7ff0470b22a941508518e492,art_v1_a41230929518740d6039f0ed421f2caff76a34a8b9f01ffd7e4c6ce03d11c1c7,republican
14379,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_f973421e21a3868a10588e783f033bba3b9bd26b0fd9a2100effd5168351d1f9,art_v1_a41230929518740d6039f0ed421f2caff76a34a8b9f01ffd7e4c6ce03d11c1c7,republican
14380,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_9c525eb97ce0667b10055c6fed05dc1d4668ed58ad0b0890922188621d37a011,art_v1_a41230929518740d6039f0ed421f2caff76a34a8b9f01ffd7e4c6ce03d11c1c7,republican
14381,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_7d16514a9d346450a555349c90aa44bfc61688aef37acb9fe72065f4ddd99865,art_v1_a41230929518740d6039f0ed421f2caff76a34a8b9f01ffd7e4c6ce03d11c1c7,democrat
14382,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_e01f353374e713d4346a38f883f4ae1fcd5ab94e924ad196afa1d5c8aab5924d,art_v1_87bc00443a69923dc236694306871dffc66fbdb211fe205271e8dcb25738c551,republican
14383,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_c95160a6a83859e0b75155f2ec4918c2f4723812f8c2fde54e344e6a989b279a,art_v1_87bc00443a69923dc236694306871dffc66fbdb211fe205271e8dcb25738c551,republican
14384,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_1bd1f3a609210dd29ef799799834fc591eb180a0a91a3b3c0ca781f4e86adb6e,art_v1_7b349acfc84ddfc11ecfc6f8fdd035fc6406d4d5756e225e51bb5830f4f1fb33,democrat
14385,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_9cdd91f928222f0646716e1d398fc4ab7ca21f03dfe5b5683d9c95ea3f279992,art_v1_6f38395c2d6d8c38d649e9ce9ff120a818f2f7a5a4b1533a124bd810dd794b8f,democrat
14386,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_777d2be4c1a0e2905db69f3a703d21708fac53ad12353f3e95e84ea41796171c,art_v1_b5684486868eb5cabc08edeb1b769c6190b406f5c7d39567308e7f2698ffc889,republican
14387,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_1824462d9beaeece0137b4ae9028cdc83afdbad590cc57d768c349cd48fc19da,art_v1_6be9b7e9fe10e3fdccfdf55dd83ba1343a38924593b535b930160735bfebac74,democrat
14388,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_dc586d2f8a8d1c15fa1e14c711efb0b6880d4527ff8bfff81ff69892430991a5,art_v1_6be9b7e9fe10e3fdccfdf55dd83ba1343a38924593b535b930160735bfebac74,democrat
14389,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_7b085760de534c2a4129c7b5a8aba326262071d514587c87cce1338dfc5b04f9,art_v1_e2dfb7127df5e79b1d9249a8788692cb571bf7b12d468d674e57f6d3a8842f5d,democrat
14390,title_primary_body_v1,article_cleaned_sentence_v1,sent_v1_62ae5f208d2f828e60458dac4b791e08068f6a096c4c3b461bcc2c8af715ad09,art_v1_197c01605fd34a1a77bc8d7274548c42dd6e7af64f747d7c2447ab07b2994209,democrat
