year_month,dimension,rep_mean,dem_mean,polarization,rep_n,dem_n
2022-03,q1,36.73218747093259,16.763207584784993,19.968979886147594,258,953
2022-03,q2,29.41863226897222,7.600008317856627,21.818623951115594,253,733
2022-03,q3,7.420026775050876,9.870465031384162,-2.4504382563332863,90,511
2022-03,q4,28.47045457918285,15.700784160825757,12.769670418357093,83,583
2022-04,q1,41.44734046321596,12.25992852353915,29.187411939676807,71,469
2022-04,q2,39.362007053693524,9.091840366464895,30.27016668722863,64,335
2022-04,q3,10.823805187149452,6.8921954139757995,3.931609773173652,13,170
2022-04,q4,37.86551067515012,15.622295697052822,22.2432149780973,22,271
2022-05,q1,49.09652469761884,12.394826459371323,36.701698238247516,119,398
2022-05,q2,21.89767059609003,9.060159617742693,12.837510978347337,65,254
2022-05,q3,14.121878815655997,20.3414227652433,-6.219543949587305,17,127
2022-05,q4,44.59899886139997,12.506030289287704,32.09296857211227,50,203
2022-06,q1,25.466110722447812,11.315279064229719,14.150831658218094,15,247
2022-06,q2,24.333053224571554,12.296484078616924,12.03656914595463,8,153
2022-06,q3,5.5788589130225965,10.422311653528961,-4.843452740506365,3,80
2022-06,q4,19.839465655706633,8.629681545687783,11.20978411001885,7,118
2022-07,q1,52.14447579744226,12.447162384105019,39.69731341333724,12,121
2022-07,q2,36.77622660637882,13.190795623462282,23.585430982916538,11,74
2022-07,q3,28.515451191515357,12.202898409896,16.31255278161936,8,36
2022-07,q4,35.810446350208274,12.571140882490424,23.23930546771785,4,51
2022-08,q1,33.09336128376389,9.600189292124305,23.493171991639585,15,119
2022-08,q2,24.2535498524165,8.46442800680209,15.789121845614412,9,65
2022-08,q3,0.0,9.67464968716301,-9.67464968716301,4,40
2022-08,q4,19.228786562009315,7.230680385977586,11.99810617603173,6,55
2022-09,q1,52.634547638425914,12.298209893856157,40.33633774456976,29,163
2022-09,q2,37.77419808690624,6.819867607356415,30.954330479549824,19,134
2022-09,q3,42.98283923065957,11.574780477582896,31.408058753076673,10,74
2022-09,q4,46.78020818378,11.153958456245496,35.6262497275345,10,71
2022-10,q1,59.44555660589076,20.100787639660773,39.344768966229985,87,202
2022-10,q2,31.42517176202185,10.870354187776565,20.554817574245284,50,154
2022-10,q3,16.03369688452275,5.447249859782547,10.586447024740204,13,64
2022-10,q4,56.25225479130277,14.098051040201229,42.15420375110154,43,77
2022-11,q1,59.128593392043,23.441498634736146,35.68709475730685,91,142
2022-11,q2,26.524848669958004,17.371813965200438,9.153034704757566,31,88
2022-11,q3,16.45690934139947,18.328151877542044,-1.8712425361425744,17,37
2022-11,q4,52.34410196736381,22.15524368457111,30.1888582827927,36,60
2022-12,q1,54.70506858683234,13.083433162823965,41.621635424008375,97,236
2022-12,q2,34.58994285005839,9.100850858255251,25.489091991803143,46,143
2022-12,q3,14.50036385740552,10.81972190039361,3.6806419570119093,10,54
2022-12,q4,56.49384236099913,9.656595510322203,46.83724685067693,37,113
2023-01,q1,48.65791553032688,16.861436908724805,31.796478621602077,57,218
2023-01,q2,40.6289775509649,11.429443181752765,29.19953436921213,23,116
2023-01,q3,0.0,16.031960430581,-16.031960430581,1,48
2023-01,q4,49.05339236726731,10.452599085436832,38.60079328183048,24,71
2023-02,q1,48.93973071404313,13.5523583948138,35.38737231922933,115,396
2023-02,q2,30.422778349118918,8.81414748787231,21.60863086124661,54,346
2023-02,q3,39.494249374689964,9.046637510730903,30.44761186395906,31,161
2023-02,q4,42.63426743682137,10.778615659606496,31.855651777214874,36,208
2023-03,q1,57.56177770596708,20.435993238521203,37.12578446744588,143,156
2023-03,q2,48.064742783616545,11.445684287334263,36.61905849628228,109,92
2023-03,q3,43.985243859407284,16.81719426315359,27.168049596253695,47,41
2023-03,q4,59.28255839068441,13.596249648192304,45.6863087424921,79,58
2023-04,q1,56.858974807268815,24.361075336978733,32.49789947029008,30,89
2023-04,q2,43.41160882460232,16.053115825506694,27.358492999095624,15,56
2023-04,q3,60.9410856239073,18.40523623381875,42.53584939008854,7,29
2023-04,q4,54.901496496605574,18.444822954342918,36.456673542262656,11,37
2023-05,q1,49.25624974026392,21.756948504492904,27.499301235771014,46,147
2023-05,q2,34.88929080611284,13.879296483506517,21.009994322606325,28,72
2023-05,q3,49.32344497368182,14.771631781520194,34.55181319216163,10,28
2023-05,q4,38.370306490345754,11.434820823461697,26.935485666884055,18,55
2023-06,q1,44.802193661448314,19.088951581066723,25.71324208038159,57,121
2023-06,q2,32.46685298290887,17.39271005709866,15.074142925810207,38,70
2023-06,q3,17.472795858266466,9.05632298143727,8.416472876829195,14,32
2023-06,q4,40.66944255011521,12.793649410755048,27.87579313936016,22,54
2023-07,q1,48.34937071163618,18.96629056508042,29.383080146555763,92,256
2023-07,q2,30.302309434084584,20.39927281176154,9.903036622323043,62,195
2023-07,q3,18.180590314600302,7.0016802983439375,11.178910016256363,23,84
2023-07,q4,43.49300706329264,7.548372014387355,35.94463504890528,41,142
2023-08,q1,54.02223429926914,24.241151085718222,29.781083213550914,86,120
2023-08,q2,37.812500175152344,29.635560504893434,8.17693967025891,50,72
2023-08,q3,26.25783895230449,17.065136626187925,9.192702326116564,21,33
2023-08,q4,46.00119644188783,13.768222827721887,32.23297361416594,40,63
2023-09,q1,55.94335287094118,14.671421165327924,41.271931705613255,178,252
2023-09,q2,34.3424632695711,14.13981049038205,20.202652779189048,84,132
2023-09,q3,27.16889488121944,8.381233358133924,18.787661523085518,19,46
2023-09,q4,52.89597130160673,14.782218733595428,38.1137525680113,76,94
2023-10,q1,55.80844394220451,15.028303597083568,40.78014034512094,236,255
2023-10,q2,33.82384276020797,11.16452922606653,22.659313534141436,70,86
2023-10,q3,36.10869776465478,27.202159759957496,8.906538004697282,26,38
2023-10,q4,51.185630873394096,18.604519657862777,32.58111121553132,128,148
2023-11,q1,52.9377900564317,16.99494860851647,35.94284144791523,147,109
2023-11,q2,36.112296003074334,28.799874728031657,7.312421275042677,51,43
2023-11,q3,30.864014826361075,35.050203013317095,-4.18618818695602,13,24
2023-11,q4,58.24378091244771,27.65717809440184,30.586602818045872,74,70
2023-12,q1,55.72038070735756,15.297099645913717,40.423281061443845,258,240
2023-12,q2,33.59272765684376,13.297327628798332,20.29540002804543,86,114
2023-12,q3,13.517214235460727,11.452799606733317,2.0644146287274108,24,39
2023-12,q4,73.18177084424585,27.774082401951777,45.407688442294074,178,130
2024-01,q1,55.69711309529663,16.29459131642009,39.40252177887654,138,106
2024-01,q2,27.632228050446987,14.48702283039046,13.145205220056527,46,42
2024-01,q3,19.67071159162382,20.851020670016943,-1.1803090783931225,13,15
2024-01,q4,64.01301017580923,28.33080679487881,35.68220338093042,81,59
2024-02,q1,57.31763139278454,15.428430264617646,41.889201128166896,455,259
2024-02,q2,29.844186990464955,17.152763779421537,12.691423211043418,179,127
2024-02,q3,18.677049678712738,10.956919103332627,7.720130575380111,63,45
2024-02,q4,53.938858501527804,24.431597861756696,29.507260639771108,247,135
2024-03,q1,57.93497045409927,16.052096694223177,41.88287375987609,160,93
2024-03,q2,32.720551215913076,11.498738153312226,21.22181306260085,50,54
2024-03,q3,22.472473567598076,8.87403856384223,13.598435003755846,23,25
2024-03,q4,37.901414200125416,16.21743782503281,21.683976375092605,59,44
2024-04,q1,49.992135813068735,14.804464498222675,35.18767131484606,380,204
2024-04,q2,29.678567196562735,13.710507395952243,15.968059800610492,139,53
2024-04,q3,27.94602282210201,19.803172970670843,8.142849851431166,52,27
2024-04,q4,47.77458060939558,24.833338863256518,22.94124174613906,155,86
2024-05,q1,54.341024863737445,18.531903958439656,35.80912090529779,63,104
2024-05,q2,26.782967326826846,17.15938150698341,9.623585819843434,24,39
2024-05,q3,38.15775185602947,8.784427899250549,29.373323956778922,12,13
2024-05,q4,51.531251607278556,6.258673696691938,45.27257791058662,24,26
2024-06,q1,61.059112923159134,14.577037248852196,46.48207567430694,70,166
2024-06,q2,39.704570855818204,10.487889128734675,29.21668172708353,34,113
2024-06,q3,36.909717796572835,10.010278175056555,26.89943962151628,10,53
2024-06,q4,48.61505583858571,9.958315196735835,38.65674064184988,22,83
2024-07,q1,57.55916323464024,15.505106521777888,42.05405671286235,123,107
2024-07,q2,41.02934449647211,11.018796486488158,30.010548009983957,73,73
2024-07,q3,32.45262436132794,9.458970860784127,22.993653500543815,25,44
2024-07,q4,25.526700570498605,9.112068384899448,16.414632185599157,58,63
2024-08,q1,60.582178863560415,20.08036454242116,40.50181432113925,36,54
2024-08,q2,41.098316946823026,17.260552632240106,23.83776431458292,18,27
2024-08,q3,27.220827000370516,8.725890517453545,18.49493648291697,3,4
2024-08,q4,56.672324777502816,11.738738248950433,44.93358652855238,6,11
2024-09,q1,60.14291473482905,21.74011653738444,38.40279819744461,112,126
2024-09,q2,49.72208608683983,12.983979935745612,36.738106151094215,84,65
2024-09,q3,19.434874805772168,5.307755317935717,14.12711948783645,21,23
2024-09,q4,49.17207151651953,9.609495507808608,39.56257600871092,24,36
2024-10,q1,60.536938435172374,20.450687795177142,40.08625063999523,84,69
2024-10,q2,50.753973425186835,11.532670092008876,39.22130333317796,53,34
2024-10,q3,9.095400872096388,4.031164344266126,5.0642365278302615,14,17
2024-10,q4,38.08366914456665,14.549676655185273,23.533992489381376,24,29
2024-11,q1,59.38439124765692,18.29759201684732,41.0867992308096,257,187
2024-11,q2,38.096723409337166,16.08165622424494,22.015067185092224,151,78
2024-11,q3,17.121619471902676,11.94917434671972,5.172445125182955,54,48
2024-11,q4,24.828182377896926,11.20370650794285,13.624475869954075,77,43
2024-12,q1,58.38996049524176,23.453040905629006,34.93691958961276,117,59
2024-12,q2,32.42669157161143,13.414828615198818,19.01186295641261,65,25
2024-12,q3,18.765633008914584,7.566681326859306,11.198951682055277,23,10
2024-12,q4,29.780165974113775,13.552950124048321,16.227215850065456,38,16
