block_length,uncertainty_layer,statistic,observed_value,bootstrap_mean,bootstrap_standard_error,ci_lower_pointwise,ci_upper_pointwise,probability_positive
3,measurement_and_temporal,full_r_squared,0.2942612328103475,0.3454897376090611,0.154794435363212,0.0704822830512773,0.6609133420425183,1.0
3,measurement_and_temporal,q2_contribution,0.0716200144310093,0.1163877455795612,0.0972561237339078,0.0028135451939503,0.3541471457384909,1.0
3,measurement_and_temporal,q3_contribution,0.0424532287887241,0.0716427723882664,0.0695010198376561,0.0024585481958912,0.2572651712733476,1.0
3,measurement_and_temporal,q4_contribution,0.180187989590614,0.1574592196412334,0.1246819571522077,0.0033448501818075,0.4531096630456976,1.0
3,measurement_and_temporal,q4_minus_q2,0.1085679751596046,0.0410714740616721,0.1717730666840327,-0.2943996634484156,0.3986288384532769,0.5876
3,measurement_and_temporal,q4_minus_q3,0.1377347608018898,0.0858164472529669,0.1435600244391989,-0.1801351248517045,0.4013657787037706,0.7328
3,measurement_and_temporal,q1_q2_correlation,0.3191770218644927,0.342364891738676,0.1826025102591519,-0.0445317381313921,0.666462425706746,0.9598
3,measurement_and_temporal,q1_q3_correlation,0.2938288379064648,0.2617346394882009,0.2023124653762286,-0.1739893913642212,0.6124334216921015,0.8936
3,measurement_and_temporal,q1_q4_correlation,0.4663082166588721,0.3899720284624154,0.2072954882036669,-0.0739545962594421,0.7358416395477911,0.956
3,temporal_only,full_r_squared,0.2942612328103475,0.3517330103029663,0.1358161642916468,0.0995666125894461,0.6189531604005717,1.0
3,temporal_only,q2_contribution,0.0716200144310093,0.0896948529267996,0.0646121753805631,0.0065873196534132,0.2482660220287759,1.0
3,temporal_only,q3_contribution,0.0424532287887241,0.0735368264479001,0.0658629119371575,0.0025763208705074,0.2362855723630548,1.0
3,temporal_only,q4_contribution,0.180187989590614,0.1885013309282664,0.1184948433050623,0.0052295601119319,0.4576192866571261,1.0
3,temporal_only,q4_minus_q2,0.1085679751596046,0.0988064780014667,0.1553910390301601,-0.2018779708284961,0.4135973171010331,0.739
3,temporal_only,q4_minus_q3,0.1377347608018898,0.1149645044803662,0.1292354165040156,-0.1094081379344847,0.4022886054299204,0.826
3,temporal_only,q1_q2_correlation,0.3191770218644927,0.3257238721648287,0.1189896115141779,0.0707818485903777,0.5401246345543551,0.9906
3,temporal_only,q1_q3_correlation,0.2938288379064648,0.2944178207015989,0.1876661813805578,-0.1135953118286714,0.6109699234928081,0.9244
3,temporal_only,q1_q4_correlation,0.4663082166588721,0.4497644181857975,0.1706819601774575,0.0506689239709145,0.7324551924319619,0.987
