ar_order,party,term,estimate,standard_error_conditional,t_statistic_conditional,degrees_freedom,p_two_sided_conditional,p_one_sided_negative_conditional,ci_lower_conditional,ci_upper_conditional,measurement_mean,measurement_standard_error,measurement_ci_lower,measurement_ci_upper,measurement_probability_negative
0,republican,intercept,39.8889326563959,1.730232524778372,23.054087866892537,31,4.504203434440836e-21,1.0,36.360100156718005,43.4177651560738,39.41240210626857,1.5417454300032345,36.40299210593329,42.34582020308123,0.0
0,democrat,intercept,20.145424836601308,0.9918078852023884,20.31182161098712,31,1.8017612651959928e-19,1.0,18.12261931848905,22.168230354713565,19.84451689387567,0.7352600841530131,18.43338585434174,21.31816351540616,0.0
0,republican,polarization,0.048659964758525,0.2912615484746851,0.1670662159607185,31,0.8684029824318648,0.5657985087840677,-0.5453718797738343,0.6426918092908844,-0.2298893780894974,0.3946653667666361,-1.0220153646184726,0.4660644436767602,0.6901182601723792
0,democrat,polarization,-0.1039615927688646,0.1669576177169903,-0.6226825357863566,31,0.5380471611098196,0.2690235805549098,-0.4444738990809775,0.2365507135432482,-0.1546084374556403,0.1420673803635981,-0.4597671251024648,0.1006590518727792,0.871116456203648
0,republican,time,-0.7651198779816405,0.2076405784156461,-3.6848282923295264,31,0.000869739215325,0.0004348696076625,-1.1886056296778786,-0.3416341262854024,-0.5784689971843241,0.2042114418190399,-0.9511778730581438,-0.1655041130699945,0.9991982361194628
0,democrat,time,0.1647785072647763,0.1190242120705723,1.3844116621169082,31,0.1761177375761648,0.9119411312119176,-0.0779729736998934,0.4075299882294462,0.1658114072635254,0.1061868922448432,-0.0321384638616075,0.3833306381942726,0.0493084786530366
1,republican,intercept,39.87637288643364,1.4073276920194455,28.33481719471676,30,3.2767662458777e-23,1.0,37.00222630403234,42.750519468834945,39.41976946346197,1.531099833914941,36.45470782059226,42.34495810950142,0.0
1,democrat,intercept,20.152430163040354,0.8571842459256659,23.51003329660815,30,7.004964077937724e-21,1.0,18.40182638761102,21.903033938469687,19.83896529305414,0.7367248146173792,18.42964729978936,21.301390856981048,0.0
1,republican,polarization,-0.2624795286018782,0.2884934183900873,-0.9098284808943742,30,0.3701652406253098,0.1850826203126549,-0.8516616908041423,0.3267026336003859,-0.2674495972340973,0.3973955956791267,-1.0506128510051185,0.4829904812817323,0.7370214471838044
1,democrat,polarization,-0.0609532874600694,0.1757174357468748,-0.3468824092554715,30,0.7311012146384273,0.3655506073192136,-0.4198161665777943,0.2979095916576554,-0.1449774852342717,0.1524621453892831,-0.4654755100859245,0.1422747404607696,0.841250751653638
1,republican,time,-0.6369215939003191,0.1806943312122844,-3.5248565332802113,30,0.0013823955503886,0.0006911977751943,-1.0059486495449406,-0.2678945382556977,-0.5630443510559687,0.1999803004814831,-0.9561464358565858,-0.1863859277313183,0.9993986770895972
1,democrat,time,0.1526550673745509,0.1100584710452101,1.387036053879423,30,0.1756506837597825,0.9121746581201088,-0.0721143166237088,0.3774244513728108,0.1613503565429825,0.1084366073527045,-0.0432521120532119,0.3831162466211227,0.0601322910402886
