model_id,series,reporting_role,year_month,observed,structural_regime_mean,one_step_ar_fitted,innovation,standardized_innovation
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2022-03,19.968979886147597,28.20200642043469,26.104975631831863,-6.135995745684267,-1.7351426472992066
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2022-04,29.187411939676807,28.20200642043469,32.62665047959001,-3.439238539913205,-0.9725511086013591
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2022-05,36.70169823824752,28.20200642043469,30.763452702172778,5.9382455360747475,1.679222657060105
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2022-06,14.150831658218094,28.20200642043469,20.88797673181859,-6.737145073600497,-1.9051362195725177
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2022-07,39.69731341333724,28.20200642043469,36.15610663652784,3.5412067768094024,1.0013857825225305
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2022-08,23.493171991639585,28.20200642043469,24.593687368925988,-1.1005153772864036,-0.3112047733216393
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2022-09,40.33633774456976,37.273519261377785,36.40732961666263,3.9290081279071303,1.1110486132771307
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2022-10,39.34476896622999,37.273519261377785,36.7062761934727,2.6384927727572904,0.7461154675379207
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2022-11,35.68709475730685,37.273519261377785,34.338286929274844,1.34880782803201,0.38141714603949156
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2022-12,41.621635424008375,37.273519261377785,37.71753470643063,3.90410071757775,1.1040052723610803
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2023-01,31.79647862160208,37.273519261377785,34.385803028079636,-2.5893244064775565,-0.7322115906830516
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2023-02,35.38737231922933,37.273519261377785,39.951226636133235,-4.563854316903905,-1.290571015615569
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2023-03,37.12578446744588,37.273519261377785,41.04430966481144,-3.918525197365561,-1.1080842403203623
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2023-04,32.49789947029008,28.742861655944164,29.633378234284365,2.8645212360057153,0.8100320089341057
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2023-05,27.49930123577101,28.742861655944164,25.749784264150605,1.7495169716204049,0.49473005449318364
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2023-06,25.71324208038159,28.742861655944164,28.220342908302705,-2.5071008279211147,-0.7089603298152153
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2023-07,29.383080146555763,28.742861655944164,31.71432967515588,-2.331249528600119,-0.6592329340213953
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2023-08,29.781083213550914,28.742861655944164,29.45969664787535,0.32138656567556356,0.09088199527597784
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2023-09,41.271931705613255,39.90849726424197,38.80277121067671,2.4691604949365478,0.698231526774477
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2023-10,40.78014034512094,39.90849726424197,38.37576148924684,2.4043788558741026,0.6799125139592787
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2023-11,35.94284144791523,39.90849726424197,38.6428316247645,-2.6999901768492656,-0.7635057612996513
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2023-12,40.423281061443845,39.90849726424197,42.777163144394265,-2.353882082950417,-0.6656329890243896
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2024-01,39.40252177887654,39.90849726424197,41.10964831165499,-1.7071265327784553,-0.48274284633318304
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2024-02,41.889201128166896,39.90849726424197,40.10967213129932,1.7795289968675747,0.5032168832161031
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2024-03,41.88287375987609,39.90849726424197,38.50454546321611,3.378328296659977,0.9553268527337796
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2024-04,35.18767131484606,39.90849726424197,37.4940209982697,-2.3063496834236417,-0.6521917323863972
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2024-05,35.80912090529779,39.90849726424197,42.94082672028594,-7.13170581498815,-2.016710477069882
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2024-06,46.48207567430694,39.90849726424197,45.17010949487155,1.3119661794353954,0.3709990300031891
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2024-07,42.05405671286235,39.90849726424197,36.23754102666127,5.81651568620108,1.6447997756372013
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2024-08,40.50181432113925,39.90849726424197,35.47889048945995,5.022923831679302,1.420387124716035
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2024-09,38.40279819744461,39.90849726424197,38.54969879034221,-0.14690059289760282,-0.04154068780596012
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2024-10,40.08625063999523,39.90849726424197,40.890523522401004,-0.8042728824057789,-0.22743304203071962
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2024-11,41.0867992308096,39.90849726424197,40.3789505866483,0.7078486441613039,0.2001661052618986
Polarization_selected_primary_K3_AR2,Polarization,selected_primary,2024-12,34.93691958961276,39.90849726424197,38.87775562150247,-3.94083603188972,-1.1143933190883737
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2022-03,19.968979886147597,28.14489018324513,25.66907477340164,-5.700094887254044,-1.7607549802677724
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2022-04,29.187411939676807,28.14489018324513,32.680002065124185,-3.49259012544738,-1.0788584364036817
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2022-05,36.70169823824752,28.14489018324513,31.064582898044208,5.637115340203314,1.7413006460298381
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2022-06,14.150831658218094,28.14489018324513,19.94359467810026,-5.79276301988217,-1.7893800960359225
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2022-07,39.69731341333724,28.14489018324513,36.714072934922534,2.9832404784147073,0.9215207173920509
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2022-08,23.493171991639585,28.14489018324513,24.34182214932256,-0.8486501576829752,-0.2621473889823568
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2022-09,40.33633774456976,38.567677021571214,37.30599977493816,3.0303379696316055,0.9360690966486321
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2022-10,39.34476896622999,38.567677021571214,39.169772201142095,0.17499676508789763,0.0540563677892916
Polarization_required_alternative_K4_AR2,Polarization,required_alternative,2022-11,35.68709475730685,38.567677021571214,37.03276726534446,-1.345672508037607,-0.41567721541528097
