contrast,observed_difference,bootstrap_mean,bootstrap_standard_error,pointwise_ci_lower,pointwise_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper,probability_positive,simultaneous_family_size,interpretation_role
q4_minus_q2,0.10856797515960469,0.03726600976670449,0.16603008723572293,-0.2803944520627519,0.38657138020928555,-0.2646312362931396,0.481767186612349,0.581,2,"dependence-aware sensitivity, not confirmatory coverage"
q4_minus_q3,0.13773476080188984,0.08289472100723012,0.14154625129573506,-0.17658017310879287,0.4024301606934247,-0.23546445065085447,0.5109339722546342,0.723,2,"dependence-aware sensitivity, not confirmatory coverage"
