year_month,party,raw_iqr,raw_iqr_ci_lower,raw_iqr_ci_upper,message_coherence,coherence_ci_lower,coherence_ci_upper,n_articles,bootstrap_valid_coherence,k_used
2022-03,democrat,20.0,16.0,23.33333333333333,0.5862960568842922,0.5459098921966113,0.6422589589419282,953,5000,28.34375
2022-03,republican,61.25,48.333333333333336,70.0,0.31635856295779563,0.28267301475749773,0.3743698083780775,258,5000,28.34375
2022-04,democrat,15.0,10.0,20.0,0.6539293439077145,0.577913971341679,0.746031746031746,469,5000,28.34375
2022-04,republican,54.22222222222223,40.0,65.0,0.3432860927709323,0.29731372387832306,0.40239562396511064,71,5000,28.34375
2022-05,democrat,15.0,10.0,20.0,0.6539293439077145,0.578019658951732,0.7398389088396226,398,5000,28.34375
2022-05,republican,56.25,40.61979166666667,65.0,0.3350572589582564,0.2999738894033165,0.4069546113912741,119,5000,28.34375
2022-06,democrat,15.0,12.0,20.0,0.6539293439077145,0.5761566008021887,0.6984170591313448,247,5000,28.34375
2022-06,republican,36.666666666666664,10.0,90.0,0.43598782246434875,0.2420201953221118,0.7290718579956399,15,5000,28.34375
2022-07,democrat,10.0,10.0,20.0,0.73920130399348,0.5789473684210527,0.7479015231683313,121,5000,28.34375
2022-07,republican,72.5,5.0,80.0,0.28106600557793615,0.2526340505806687,0.8489235302504634,12,4989,28.34375
2022-08,democrat,10.0,10.0,15.0,0.73920130399348,0.6423243329338619,0.749456830191215,119,5000,28.34375
2022-08,republican,41.25,10.0,82.5,0.4072743601257297,0.2546478576692283,0.73734610123119,15,5000,28.34375
2022-09,democrat,20.0,10.0,20.0,0.5862960568842922,0.5685393258426966,0.7330404173372799,163,5000,28.34375
2022-09,republican,63.75,25.0,70.0,0.3077706141839158,0.28066698863927586,0.5238095238095238,29,5000,28.34375
2022-10,democrat,20.0,13.333333333333329,30.0,0.5862960568842922,0.4802432940415781,0.6815649406598293,202,5000,28.34375
2022-10,republican,23.92857142857143,15.499492296918767,39.54250408496731,0.5422324707489965,0.4136825235094291,0.646566656286015,87,5000,28.34375
