model_class,year_month,observed,structural_mean,one_step_fitted,innovation
trend_only,2022-03,19.968979886147597,29.247687080463976,29.247687080463976,-9.278707194316379
trend_only,2022-04,29.187411939676807,29.623965908720233,29.623965908720233,-0.4365539690434268
trend_only,2022-05,36.70169823824752,30.00024473697649,30.00024473697649,6.701453501271033
trend_only,2022-06,14.150831658218094,30.37652356523275,30.376523565232752,-16.225691907014657
trend_only,2022-07,39.69731341333724,30.752802393489006,30.752802393489006,8.944511019848235
trend_only,2022-08,23.493171991639585,31.129081221745263,31.129081221745263,-7.635909230105678
trend_only,2022-09,40.33633774456976,31.50536005000152,31.50536005000152,8.83097769456824
trend_only,2022-10,39.34476896622999,31.881638878257778,31.881638878257778,7.463130087972214
trend_only,2022-11,35.68709475730685,32.257917706514036,32.257917706514036,3.4291770507928163
trend_only,2022-12,41.621635424008375,32.6341965347703,32.6341965347703,8.987438889238078
trend_only,2023-01,31.79647862160208,33.01047536302655,33.01047536302655,-1.2139967414244701
trend_only,2023-02,35.38737231922933,33.38675419128281,33.38675419128281,2.0006181279465167
trend_only,2023-03,37.12578446744588,33.763033019539066,33.763033019539066,3.362751447906817
trend_only,2023-04,32.49789947029008,34.13931184779533,34.13931184779533,-1.6414123775052474
trend_only,2023-05,27.49930123577101,34.51559067605158,34.51559067605158,-7.01628944028057
trend_only,2023-06,25.71324208038159,34.89186950430784,34.89186950430784,-9.178627423926251
trend_only,2023-07,29.383080146555763,35.268148332564095,35.268148332564095,-5.885068186008333
trend_only,2023-08,29.781083213550914,35.64442716082036,35.64442716082036,-5.863343947269442
trend_only,2023-09,41.271931705613255,36.02070598907661,36.02070598907661,5.251225716536645
trend_only,2023-10,40.78014034512094,36.39698481733287,36.39698481733287,4.38315552778807
trend_only,2023-11,35.94284144791523,36.773263645589125,36.773263645589125,-0.8304221976738972
trend_only,2023-12,40.423281061443845,37.149542473845386,37.149542473845386,3.2737385875984586
trend_only,2024-01,39.40252177887654,37.52582130210164,37.52582130210164,1.8767004767749
trend_only,2024-02,41.889201128166896,37.9021001303579,37.9021001303579,3.9871009978089944
trend_only,2024-03,41.88287375987609,38.278378958614155,38.278378958614155,3.6044948012619358
trend_only,2024-04,35.18767131484606,38.654657786870416,38.654657786870416,-3.4669864720243595
trend_only,2024-05,35.80912090529779,39.03093661512667,39.03093661512667,-3.2218157098288813
trend_only,2024-06,46.48207567430694,39.40721544338293,39.40721544338293,7.07486023092401
trend_only,2024-07,42.05405671286235,39.783494271639185,39.783494271639185,2.270562441223163
