ar_order,party,term,estimate,standard_error_conditional,t_statistic_conditional,degrees_freedom,p_two_sided_conditional,p_one_sided_negative_conditional,ci_lower_conditional,ci_upper_conditional,measurement_mean,measurement_standard_error,measurement_ci_lower,measurement_ci_upper,measurement_probability_negative
0,republican,intercept,39.8889326563959,1.730232524778372,23.054087866892534,31,4.504203434440836e-21,1.0,36.360100156718005,43.4177651560738,39.41240210626857,1.5417454300032345,36.40299210593329,42.34582020308123,0.0
0,democrat,intercept,20.145424836601308,0.9918078852023885,20.31182161098712,31,1.8017612651959928e-19,1.0,18.12261931848905,22.168230354713565,19.84451689387567,0.7352600841530131,18.43338585434174,21.318163515406162,0.0
0,republican,polarization,0.04865996475852505,0.2912615484746851,0.16706621596071858,31,0.8684029824318648,0.5657985087840677,-0.5453718797738343,0.6426918092908844,-0.22988937808949747,0.3946653667666361,-1.0220153646184726,0.46606444367676025,0.6901182601723792
0,democrat,polarization,-0.10396159276886467,0.16695761771699033,-0.6226825357863566,31,0.5380471611098196,0.2690235805549098,-0.44447389908097756,0.2365507135432482,-0.15460843745564032,0.14206738036359817,-0.4597671251024648,0.10065905187277924,0.871116456203648
0,republican,time,-0.7651198779816405,0.20764057841564615,-3.6848282923295264,31,0.0008697392153250226,0.0004348696076625113,-1.1886056296778786,-0.34163412628540246,-0.5784689971843241,0.2042114418190399,-0.9511778730581438,-0.16550411306999457,0.9991982361194628
0,democrat,time,0.16477850726477639,0.11902421207057232,1.3844116621169082,31,0.17611773757616486,0.9119411312119176,-0.07797297369989348,0.40752998822944625,0.1658114072635254,0.10618689224484323,-0.03213846386160756,0.3833306381942726,0.04930847865303668
1,republican,intercept,39.87637288643364,1.4073276920194457,28.33481719471676,30,3.2767662458777e-23,1.0,37.00222630403234,42.750519468834945,39.41976946346197,1.531099833914941,36.45470782059226,42.34495810950142,0.0
1,democrat,intercept,20.152430163040354,0.8571842459256659,23.51003329660815,30,7.004964077937724e-21,1.0,18.40182638761102,21.903033938469687,19.83896529305414,0.7367248146173792,18.429647299789362,21.301390856981048,0.0
1,republican,polarization,-0.26247952860187823,0.2884934183900873,-0.9098284808943742,30,0.37016524062530987,0.18508262031265493,-0.8516616908041423,0.3267026336003859,-0.26744959723409734,0.39739559567912675,-1.0506128510051185,0.4829904812817323,0.7370214471838044
1,democrat,polarization,-0.06095328746006945,0.17571743574687484,-0.3468824092554715,30,0.7311012146384273,0.3655506073192136,-0.41981616657779436,0.29790959165765546,-0.14497748523427173,0.15246214538928315,-0.4654755100859245,0.14227474046076966,0.841250751653638
1,republican,time,-0.6369215939003191,0.1806943312122844,-3.5248565332802113,30,0.00138239555038868,0.00069119777519434,-1.0059486495449406,-0.2678945382556977,-0.5630443510559687,0.1999803004814831,-0.9561464358565858,-0.18638592773131832,0.9993986770895971
1,democrat,time,0.15265506737455098,0.1100584710452101,1.387036053879423,30,0.17565068375978254,0.9121746581201087,-0.07211431662370887,0.37742445137281083,0.1613503565429825,0.10843660735270454,-0.04325211205321198,0.3831162466211227,0.06013229104028864
