year_month,dimension,rep_mean,dem_mean,polarization,pol_ci_lower,pol_ci_upper,rep_n,dem_n,bootstrap_valid
2022-03,q1,36.73218747093259,16.763207584784993,19.968979886147594,15.738562713504086,24.262572654282575,258,953,5000
2022-03,q2,29.41863226897222,7.600008317856627,21.818623951115594,17.68489512563218,26.17711409094031,253,733,5000
2022-03,q3,7.420026775050876,9.870465031384162,-2.4504382563332863,-6.254222332397042,2.107373755371674,90,511,5000
2022-03,q4,28.47045457918285,15.700784160825757,12.769670418357093,4.7293942347370574,21.709101403414095,83,583,5000
2022-04,q1,41.44734046321596,12.25992852353915,29.187411939676807,21.62974476134275,35.96966730593862,71,469,5000
2022-04,q2,39.362007053693524,9.091840366464895,30.27016668722863,22.00026783255417,38.55583835161932,64,335,5000
2022-04,q3,10.823805187149452,6.8921954139757995,3.931609773173652,-4.335037156760643,15.371816280392485,13,170,5000
2022-04,q4,37.86551067515012,15.622295697052822,22.2432149780973,3.8089181962960383,38.24471773274159,22,271,5000
2022-05,q1,49.09652469761884,12.394826459371323,36.701698238247516,31.671693703863756,41.75514027909105,119,398,5000
2022-05,q2,21.89767059609003,9.060159617742693,12.837510978347337,7.029281968483867,18.879793963205458,65,254,5000
2022-05,q3,14.121878815655997,20.3414227652433,-6.219543949587305,-18.527842577133733,7.427105680760285,17,127,5000
2022-05,q4,44.59899886139997,12.506030289287704,32.09296857211227,22.301595223614836,42.22827553599659,50,203,5000
2022-06,q1,25.466110722447812,11.315279064229719,14.150831658218094,-0.42578573326407476,31.593191625181895,15,247,5000
2022-06,q2,24.333053224571554,12.296484078616924,12.03656914595463,-8.443354533215533,36.26801194483656,8,153,5000
2022-06,q3,5.5788589130225965,10.422311653528961,-4.843452740506365,-14.15599667211567,11.016484184545094,3,80,4767
2022-06,q4,19.839465655706633,8.629681545687783,11.20978411001885,-8.686527762289346,46.95467047960165,7,118,4993
2022-07,q1,52.14447579744226,12.447162384105019,39.69731341333724,16.17254550628105,60.60302859917933,12,121,5000
2022-07,q2,36.77622660637882,13.190795623462282,23.585430982916538,2.9621939709136655,43.44516622087036,11,74,4999
2022-07,q3,28.515451191515357,12.202898409896,16.31255278161936,-15.095906270589499,53.27994314109426,8,36,4999
2022-07,q4,35.810446350208274,12.571140882490424,23.23930546771785,-11.685585461576563,49.76753157014688,4,51,4917
2022-08,q1,33.09336128376389,9.600189292124305,23.493171991639585,5.044576354083075,43.098970431324645,15,119,5000
2022-08,q2,24.2535498524165,8.46442800680209,15.789121845614412,-4.6287814056389545,37.49844388470509,9,65,5000
2022-08,q3,0.0,9.67464968716301,-9.67464968716301,-14.835438909046909,-5.415130568283373,4,40,4917
2022-08,q4,19.228786562009315,7.230680385977586,11.99810617603173,-7.375950811151709,42.73843294543895,6,55,4989
2022-09,q1,52.634547638425914,12.298209893856157,40.33633774456976,30.37168079898251,48.97849876477676,29,163,5000
2022-09,q2,37.77419808690624,6.819867607356415,30.954330479549824,16.570174778668893,44.02984822980996,19,134,5000
2022-09,q3,42.98283923065957,11.574780477582896,31.408058753076673,4.0145042191600515,58.61044936215851,10,74,5000
2022-09,q4,46.78020818378,11.153958456245496,35.6262497275345,10.218306074706994,60.23581554617634,10,71,5000
2022-10,q1,59.44555660589076,20.100787639660773,39.344768966229985,34.11364586632637,44.57383346652505,87,202,5000
2022-10,q2,31.42517176202185,10.870354187776565,20.554817574245284,12.715074352515122,27.742846655745847,50,154,5000
2022-10,q3,16.03369688452275,5.447249859782547,10.586447024740204,-0.6453918246634274,23.787013176704342,13,64,5000
2022-10,q4,56.25225479130277,14.098051040201229,42.15420375110154,30.804783460772178,53.15099096624544,43,77,5000
2022-11,q1,59.128593392043,23.441498634736146,35.68709475730685,29.531834725200188,41.41661361044005,91,142,5000
2022-11,q2,26.524848669958004,17.371813965200438,9.153034704757566,-0.9675867912201842,19.340257980279528,31,88,5000
2022-11,q3,16.45690934139947,18.328151877542044,-1.8712425361425744,-17.13458188319731,15.289866904433218,17,37,5000
2022-11,q4,52.34410196736381,22.15524368457111,30.1888582827927,17.977969382094326,41.63655789861508,36,60,5000
2022-12,q1,54.70506858683234,13.083433162823965,41.621635424008375,36.834028634356066,46.4376209646408,97,236,5000
2022-12,q2,34.58994285005839,9.100850858255251,25.489091991803143,18.400623949324768,33.00702908368691,46,143,5000
2022-12,q3,14.50036385740552,10.81972190039361,3.6806419570119093,-8.135094974130062,23.720412388587857,10,54,5000
2022-12,q4,56.49384236099913,9.656595510322203,46.83724685067693,34.36868333792276,58.28355163275219,37,113,5000
2023-01,q1,48.65791553032688,16.861436908724805,31.796478621602077,23.720911263716154,39.208101034511145,57,218,5000
2023-01,q2,40.6289775509649,11.429443181752765,29.19953436921213,13.638690967918619,45.563760071128364,23,116,5000
2023-01,q3,0.0,16.031960430581,-16.031960430581,,,1,48,3156
2023-01,q4,49.05339236726731,10.452599085436832,38.60079328183048,23.027500994589587,52.81619850393165,24,71,5000
2023-02,q1,48.93973071404313,13.5523583948138,35.38737231922933,30.339625146311604,40.48581545022835,115,396,5000
2023-02,q2,30.422778349118918,8.81414748787231,21.60863086124661,14.503943806338105,29.091322431241892,54,346,5000
2023-02,q3,39.494249374689964,9.046637510730903,30.44761186395906,17.423287052730863,43.8484992781672,31,161,5000
