block_length,uncertainty_layer,statistic,observed_value,bootstrap_mean,bootstrap_standard_error,ci_lower_pointwise,ci_upper_pointwise,probability_positive
3,measurement_and_temporal,full_r_squared,0.29426123281034755,0.3454897376090611,0.15479443536321205,0.07048228305127736,0.6609133420425183,1.0
3,measurement_and_temporal,q2_contribution,0.07162001443100934,0.11638774557956126,0.0972561237339078,0.002813545193950378,0.35414714573849093,1.0
3,measurement_and_temporal,q3_contribution,0.042453228788724186,0.07164277238826647,0.06950101983765615,0.0024585481958912182,0.25726517127334764,1.0
3,measurement_and_temporal,q4_contribution,0.18018798959061402,0.1574592196412334,0.12468195715220778,0.003344850181807546,0.4531096630456976,1.0
3,measurement_and_temporal,q4_minus_q2,0.10856797515960469,0.04107147406167212,0.1717730666840327,-0.29439966344841567,0.39862883845327696,0.5876
3,measurement_and_temporal,q4_minus_q3,0.13773476080188984,0.08581644725296694,0.1435600244391989,-0.1801351248517045,0.4013657787037706,0.7328
3,measurement_and_temporal,q1_q2_correlation,0.31917702186449276,0.34236489173867607,0.1826025102591519,-0.04453173813139213,0.666462425706746,0.9598
3,measurement_and_temporal,q1_q3_correlation,0.29382883790646486,0.26173463948820097,0.20231246537622863,-0.17398939136422126,0.6124334216921015,0.8936
3,measurement_and_temporal,q1_q4_correlation,0.4663082166588721,0.3899720284624154,0.20729548820366692,-0.07395459625944216,0.7358416395477911,0.956
3,temporal_only,full_r_squared,0.29426123281034755,0.3517330103029663,0.1358161642916468,0.09956661258944616,0.6189531604005717,1.0
3,temporal_only,q2_contribution,0.07162001443100934,0.08969485292679963,0.06461217538056319,0.006587319653413276,0.24826602202877598,1.0
3,temporal_only,q3_contribution,0.042453228788724186,0.07353682644790019,0.06586291193715754,0.0025763208705074057,0.2362855723630548,1.0
3,temporal_only,q4_contribution,0.18018798959061402,0.1885013309282664,0.1184948433050623,0.00522956011193193,0.45761928665712615,1.0
3,temporal_only,q4_minus_q2,0.10856797515960469,0.09880647800146677,0.15539103903016013,-0.20187797082849612,0.41359731710103315,0.739
3,temporal_only,q4_minus_q3,0.13773476080188984,0.11496450448036624,0.12923541650401565,-0.10940813793448477,0.4022886054299204,0.826
3,temporal_only,q1_q2_correlation,0.31917702186449276,0.32572387216482873,0.11898961151417795,0.07078184859037774,0.5401246345543551,0.9906
3,temporal_only,q1_q3_correlation,0.29382883790646486,0.29441782070159894,0.18766618138055782,-0.11359531182867147,0.6109699234928081,0.9244
3,temporal_only,q1_q4_correlation,0.4663082166588721,0.4497644181857975,0.1706819601774575,0.050668923970914506,0.7324551924319619,0.987
4,measurement_and_temporal,full_r_squared,0.29426123281034755,0.3425777386625088,0.15755514292618183,0.0656487487041815,0.6597645141011483,1.0
4,measurement_and_temporal,q2_contribution,0.07162001443100934,0.11698014671210996,0.09318571059101256,0.0036524120134134395,0.34499270337031646,1.0
4,measurement_and_temporal,q3_contribution,0.042453228788724186,0.07135143547158435,0.07144954448782813,0.0020003516182691516,0.2557641922765918,1.0
4,measurement_and_temporal,q4_contribution,0.18018798959061402,0.15424615647881446,0.12343922880459729,0.002629310543010338,0.4501528277596246,1.0
4,measurement_and_temporal,q4_minus_q2,0.10856797515960469,0.03726600976670449,0.16603008723572293,-0.2803944520627519,0.38657138020928555,0.581
4,measurement_and_temporal,q4_minus_q3,0.13773476080188984,0.08289472100723012,0.14154625129573506,-0.17658017310879287,0.4024301606934247,0.723
4,measurement_and_temporal,q1_q2_correlation,0.31917702186449276,0.3481970623265792,0.17525823710824798,-0.020888645744382716,0.6574900772377004,0.9674
4,measurement_and_temporal,q1_q3_correlation,0.29382883790646486,0.25961122901797606,0.2046203716611483,-0.18147068496042829,0.6164850923721968,0.8942
4,measurement_and_temporal,q1_q4_correlation,0.4663082166588721,0.3850710009699412,0.2095011238931261,-0.07750787824386166,0.7421975231885293,0.9512
4,temporal_only,full_r_squared,0.29426123281034755,0.351679389798379,0.13687376420028713,0.10032241550594759,0.6173183946170984,1.0
4,temporal_only,q2_contribution,0.07162001443100934,0.09057000441114046,0.06121671795072823,0.007359614153989493,0.2414120634717292,1.0
4,temporal_only,q3_contribution,0.042453228788724186,0.07599470317065377,0.06942736923569433,0.002311040884958296,0.24412873066563767,1.0
4,temporal_only,q4_contribution,0.18018798959061402,0.18511468221658475,0.11861118929104994,0.004471087989502883,0.45383327092924075,1.0
4,temporal_only,q4_minus_q2,0.10856797515960469,0.09454467780544427,0.15263992775952415,-0.1993605338169885,0.40892439201008646,0.7338
4,temporal_only,q4_minus_q3,0.13773476080188984,0.10911997904593095,0.13063579932591368,-0.11348059995154682,0.40640297741144427,0.8042
4,temporal_only,q1_q2_correlation,0.31917702186449276,0.33111211233337523,0.11025439359155376,0.09813213733736764,0.5284431630847949,0.995
4,temporal_only,q1_q3_correlation,0.29382883790646486,0.29574161178604075,0.19347570416868592,-0.11166153793180639,0.615355945536965,0.9194
4,temporal_only,q1_q4_correlation,0.4663082166588721,0.44626195176532235,0.17381188050829255,0.039040723638005176,0.7388550030329234,0.9864
5,measurement_and_temporal,full_r_squared,0.29426123281034755,0.33913912049376904,0.1543568603104379,0.06473194026590856,0.656754365570544,1.0
5,measurement_and_temporal,q2_contribution,0.07162001443100934,0.11376374391945057,0.09082558819623761,0.0035686187214252645,0.3369481028021305,1.0
5,measurement_and_temporal,q3_contribution,0.042453228788724186,0.07086001869086313,0.07167064510110757,0.0023951084011148973,0.2612287961672488,1.0
5,measurement_and_temporal,q4_contribution,0.18018798959061402,0.15451535788345536,0.12175119489311827,0.0027236530626712162,0.44270527076186966,1.0
5,measurement_and_temporal,q4_minus_q2,0.10856797515960469,0.040751613964004764,0.16306145516450402,-0.2794791332885905,0.38182003325255987,0.5872
5,measurement_and_temporal,q4_minus_q3,0.13773476080188984,0.08365533919259222,0.14109191240825575,-0.1812015939668464,0.3880131959163389,0.7254
5,measurement_and_temporal,q1_q2_correlation,0.31917702186449276,0.34541318506752944,0.17110495568967152,-0.018128982764787475,0.646183865549323,0.9684
5,measurement_and_temporal,q1_q3_correlation,0.29382883790646486,0.25706013102259584,0.20474455653759613,-0.1811054989593182,0.6153148099282012,0.8928
5,measurement_and_temporal,q1_q4_correlation,0.4663082166588721,0.3870458733408707,0.20709682000325103,-0.06356341918230334,0.733289815946451,0.9556
5,temporal_only,full_r_squared,0.29426123281034755,0.349045675802959,0.132744630998341,0.10399460989728487,0.6039168998731116,1.0
5,temporal_only,q2_contribution,0.07162001443100934,0.08811303119973589,0.06016844856398692,0.009255079518111824,0.24098906938848358,1.0
5,temporal_only,q3_contribution,0.042453228788724186,0.07565023578014986,0.07000320473394901,0.00274607582855467,0.24125175252746828,1.0
