model_class,minimum_regime_duration,ar_order,diagnostic_lag,ljung_box_statistic,ljung_box_p_value
trend_only,3,0,4,3.9504593144143576,0.4127519691081387
trend_only,3,0,8,12.682338238426073,0.12325681756056207
break_only,3,2,4,4.420313840633722,0.3521010398532833
break_only,3,2,8,9.307047646071528,0.3170596046093138
break_plus_trend,3,2,4,4.192210423213111,0.3806175273154629
break_plus_trend,3,2,8,9.151530148782909,0.32967486174736665
