replicate,ar_order,primary_fixed_order,phi,bic_ar0,bic_ar1,bic_preferred_ar_order,republican_intercept,republican_polarization,republican_time,democrat_intercept,democrat_polarization,democrat_time,polarization_effect_contrast
1,0,True,0.0,530.5842790859726,534.0768144885922,0,38.17145987182752,-0.1700012590141758,-0.4253711152044784,20.928921568627455,-0.1871376124315567,0.13394864498864317,0.0171363534173809
1,1,False,0.02283730903650727,530.5842790859726,534.0768144885922,0,38.17299037547537,-0.1686072676764694,-0.42840168733767675,20.93554054129415,-0.18601854048846284,0.1345234686775954,0.017411272811993422
2,0,True,0.0,521.7938918798086,525.2383656448858,0,39.31702937585291,-0.09515686869804768,-0.39742053047056597,19.942587641117054,-0.14394629278526366,0.10453851041186857,0.04878942408721598
2,1,False,-0.04313144824855917,521.7938918798086,525.2383656448858,0,39.30919613754733,-0.14608895218409312,-0.3726107439968576,19.950102063906968,-0.14960619956398502,0.10852719408544609,0.003517247379891897
3,0,True,0.0,534.6037565866121,538.064856165903,0,40.85381652661066,0.23009801592905463,-0.8135352566883097,20.975679855275448,-0.5361579636173452,0.4432328751804397,0.7662559795463999
3,1,False,0.03952849117908987,534.6037565866121,538.064856165903,0,40.85221698954224,0.26829996259821665,-0.8259097807601814,20.960918567130978,-0.5331934200534733,0.442164954675346,0.8014933826516899
4,0,True,0.0,508.05424144892936,511.35110052888234,0,41.853034016636954,-1.2528575283788326,-0.25797274777125917,19.571778711484598,-0.13290054857663003,0.2947542089014711,-1.1199569798022027
4,1,False,-0.06723811678366116,508.05424144892936,511.35110052888234,0,41.88580692797529,-1.259845971437409,-0.25221624187928415,19.520883853212453,-0.12601552813718986,0.28612499274570513,-1.1338304433002193
5,0,True,0.0,512.2239578041626,515.4030617729635,0,42.91118113912233,-0.5006854296474317,-0.9533724453894173,20.641106442577037,-0.32224639914790554,0.28566131116310506,-0.17843903049952614
5,1,False,0.09514273693837419,512.2239578041626,515.4030617729635,0,42.910786492462094,-0.5555326497147124,-0.9278174339998803,20.652243857142672,-0.3358039083511283,0.29400775147323627,-0.2197287413635841
6,0,True,0.0,521.6501567706044,525.1358778255914,0,39.71501033568507,-0.06441715022249221,-0.36768576770089745,19.552696078431374,-0.10450904614519657,0.18930233617038425,0.04009189592270436
6,1,False,-0.03151727428654579,521.6501567706044,525.1358778255914,0,39.71090551500837,-0.10564431096231434,-0.3463998535220864,19.54352879175711,-0.10047085481276452,0.18552355437150342,-0.005173456149549824
7,0,True,0.0,535.8899506423189,539.0753956570553,0,41.04987422600621,-0.2689839692787463,-0.9277671203088882,18.648080065359483,0.10228117066805495,0.030428085307053612,-0.3712651399468012
7,1,False,0.09210181113744566,535.8899506423189,539.0753956570553,0,41.05271507699422,-0.27365633977350684,-0.9278366164384909,18.61846031385046,0.06793269832447937,0.03719228805028606,-0.34158903809798624
8,0,True,0.0,526.830357050362,530.2850083353718,0,41.30435924369749,-0.23235414005378463,-0.6464596144865767,20.210959383753504,-0.14803945629640636,0.14913997904684878,-0.08431468375737827
8,1,False,-0.0409236220877865,526.830357050362,530.2850083353718,0,41.298572409153536,-0.2497635369586289,-0.6376055345525178,20.22459947456779,-0.1402755345135287,0.1494679352083594,-0.10948800244510021
9,0,True,0.0,495.4497236544971,498.95482881171915,0,41.05479334799188,0.20511207012893484,-0.8568588475030798,18.702818627450977,-0.1219516906109194,0.21929117983768676,0.3270637607398542
9,1,False,0.01929874141616981,495.4497236544971,498.95482881171915,0,41.058500085705276,0.2051934784153208,-0.8578796529153092,18.703280297644817,-0.12285022364244556,0.21899678978097983,0.32804370205776634
10,0,True,0.0,524.2066336239409,525.7545445836713,0,37.67848389355744,-0.7332678791645173,-0.15402063595583906,20.232026143790854,-0.1400641379118883,0.17103048882741176,-0.593203741252629
10,1,False,0.17643170073452522,524.2066336239409,525.7545445836713,0,37.664642761446046,-0.6403861290170424,-0.21183469028132776,20.23031678061942,-0.16965498648921246,0.18507399082139814,-0.47073114252782994
11,0,True,0.0,522.2287684105352,525.7549276791922,0,39.667876241405665,0.39407561522667,-0.7664036355702407,20.116421568627455,-0.23630592465935663,0.276985318875007,0.6303815398860266
11,1,False,-0.0019037311720052452,522.2287684105352,525.7549276791922,0,39.667126297723655,0.3945108939789856,-0.7664025851993007,20.116139862872572,-0.23619350765460037,0.27690133245114823,0.630704401633586
12,0,True,0.0,524.3408178228757,527.4661933908071,0,39.281600140056035,0.026526256879193272,-0.5478045793129461,20.95098039215687,-0.21346035136275354,0.13213922825478494,0.2399866082419468
12,1,False,-0.08634797239333968,524.3408178228757,527.4661933908071,0,39.25168541661432,0.002585754097685374,-0.5297224166994176,20.97003063263878,-0.1934947673804312,0.1238633363570657,0.19608052147811658
13,0,True,0.0,521.4819324920669,522.1035141368773,0,37.16469712885156,-0.573253216013261,-0.25382673949658674,21.363970588235297,-0.28146422783207925,0.3006973248890097,-0.2917889881811817
