year_month,party,dimension,mean,ci_lower,ci_upper,raw_iqr,raw_iqr_ci_lower,raw_iqr_ci_upper,n_articles,bootstrap_valid_mean,bootstrap_valid_raw_iqr
2022-03,democrat,q1,16.763207584784993,15.66141711809701,17.87635237706523,20.0,16.0,23.33333333333333,953,5000,5000
2022-03,democrat,q2,7.600008317856627,6.699541155267942,8.544575114975899,10.0,10.0,10.0,733,5000,5000
2022-03,democrat,q3,9.870465031384162,8.491904895111615,11.369030740955015,15.5,10.0,20.0,511,5000,5000
2022-03,democrat,q4,15.700784160825757,13.946127298077903,17.58162636953807,20.0,20.0,20.0,583,5000,5000
2022-03,republican,q1,36.73218747093259,32.55309217901707,40.93844118478675,61.25,48.333333333333336,70.0,258,5000,5000
2022-03,republican,q2,29.41863226897222,25.31396189322256,33.762317664722744,51.66666666666666,50.0,67.5,253,5000,5000
2022-03,republican,q3,7.420026775050876,3.962336703506665,11.708120207405509,0.0,0.0,20.0,90,5000,5000
2022-03,republican,q4,28.47045457918285,20.584575440398684,37.293170050043585,60.0,45.0,80.0,83,5000,5000
2022-04,democrat,q1,12.25992852353915,10.939503526718168,13.68185378931904,15.0,10.0,20.0,469,5000,5000
2022-04,democrat,q2,9.091840366464895,7.4715912282411665,10.858062063599524,10.0,10.0,10.0,335,5000,5000
2022-04,democrat,q3,6.8921954139757995,4.525006110072414,9.597809914942001,10.0,0.0,10.0,170,5000,5000
2022-04,democrat,q4,15.622295697052822,12.636989318784504,18.79674074164054,20.0,10.0,20.0,271,5000,5000
2022-04,republican,q1,41.44734046321596,33.78641037448159,48.340711363060734,54.22222222222223,40.0,65.0,71,5000,5000
2022-04,republican,q2,39.362007053693524,31.008932807132194,47.628196778977646,70.0,58.75,75.0,64,5000,5000
2022-04,republican,q3,10.823805187149452,2.9178032079769216,21.975087313684988,25.0,0.0,52.5,13,5000,4998
2022-04,republican,q4,37.86551067515012,19.999172084665922,53.2014598665108,68.21428571428572,20.0,80.0,22,5000,5000
2022-05,democrat,q1,12.394826459371323,10.96765381934635,13.97369421371174,15.0,10.0,20.0,398,5000,5000
2022-05,democrat,q2,9.060159617742693,7.438662995839508,10.910280673697299,10.0,10.0,10.0,254,5000,5000
2022-05,democrat,q3,20.3414227652433,15.312343499755233,25.511392099107304,30.0,20.0,50.0,127,5000,5000
2022-05,democrat,q4,12.506030289287704,9.804222482471932,15.468076820432568,20.0,10.0,20.0,203,5000,5000
2022-05,republican,q1,49.09652469761884,44.1940837155552,54.12680284648535,56.25,40.61979166666667,65.0,119,5000,5000
2022-05,republican,q2,21.89767059609003,16.21880033712632,27.869122462037385,32.5,15.0,50.0,65,5000,5000
2022-05,republican,q3,14.121878815655997,2.735220034370638,26.518738122703354,10.0,0.0,50.0,17,5000,5000
2022-05,republican,q4,44.59899886139997,35.243984118869015,54.30032784190812,58.33333333333333,40.0,71.25,50,5000,5000
2022-06,democrat,q1,11.315279064229719,9.760665057288774,12.967936157356611,15.0,12.0,20.0,247,5000,5000
2022-06,democrat,q2,12.296484078616924,9.877845386567934,14.885909359415196,20.0,10.0,20.0,153,5000,5000
2022-06,democrat,q3,10.422311653528961,6.134301910885537,15.476561098172752,12.5,10.0,20.0,80,5000,5000
2022-06,democrat,q4,8.629681545687783,6.379957190226243,11.32618567458669,10.0,10.0,20.0,118,5000,5000
2022-06,republican,q1,25.466110722447812,10.983291420397082,42.62907442688474,36.666666666666664,10.0,90.0,15,5000,5000
