series,n_observations,lag,acf,acf_band_bartlett_95,acf_outside_band,pacf,pacf_band_flat_95,pacf_outside_band,reported_truncation_lag
polarization,34,1,0.18095333155352586,0.33613722687931735,False,0.1809533315535259,0.3361372268793173,False,2
polarization,34,2,0.37349716923982906,0.3469692108786964,True,0.35228843156023837,0.3361372268793173,True,2
polarization,34,3,0.2632216817708944,0.38975810645690867,False,0.18377675451767814,0.3361372268793173,False,2
polarization,34,4,-0.006065514342453995,0.40935108286979005,False,-0.21581229237162006,0.3361372268793173,False,2
polarization,34,5,0.20551665695205476,0.4093612375713285,False,0.08508891004329186,0.3361372268793173,False,2
polarization,34,6,-0.1465975406264186,0.4208577108385358,False,-0.18220696880145493,0.3361372268793173,False,2
party_brand_index,34,1,0.3148089258382184,0.33613722687931735,False,0.31480892583821835,0.3361372268793173,False,3
party_brand_index,34,2,0.27049842353742654,0.3679450455322439,False,0.19024825204398252,0.3361372268793173,False,3
party_brand_index,34,3,0.36457075997445637,0.38976674903285413,False,0.2714816406890225,0.3361372268793173,False,3
party_brand_index,34,4,0.0010809725239973491,0.4265595702063883,False,-0.23776333704154554,0.3361372268793173,False,3
party_brand_index,34,5,0.23192367005634895,0.42655987972209203,False,0.2179089169263657,0.3361372268793173,False,3
party_brand_index,34,6,0.04884909308296825,0.4405772195974241,False,-0.1640262462259276,0.3361372268793173,False,3
