ar_order,phi,log_likelihood,bic,delta_bic,selected,n_months,n_parameters,residual_covariance_rr,residual_covariance_rd,residual_covariance_dd
0,0.0,-233.42144363954188,498.5801320006292,0.0,True,34,9,101.78595605323196,-15.968886315393537,33.445217959087564
1,-0.2285064222460111,-232.82992478777453,500.92345482171066,2.343322821081472,False,34,10,100.48545393653822,-26.720700352231336,37.27872868505848
