model_id,series,minseglen,year_month,observed,structural_regime_mean,one_step_ar_fitted,innovation,standardized_innovation
Polarization_minseg5_K3_AR2,Polarization,5,2024-07,42.05405671286235,39.90849726424197,36.23754102666127,5.81651568620108,1.6447997756372013
Polarization_minseg5_K3_AR2,Polarization,5,2024-08,40.50181432113925,39.90849726424197,35.47889048945995,5.022923831679302,1.420387124716035
Polarization_minseg5_K3_AR2,Polarization,5,2024-09,38.40279819744461,39.90849726424197,38.54969879034221,-0.14690059289760282,-0.04154068780596012
Polarization_minseg5_K3_AR2,Polarization,5,2024-10,40.08625063999523,39.90849726424197,40.890523522401004,-0.8042728824057789,-0.22743304203071962
Polarization_minseg5_K3_AR2,Polarization,5,2024-11,41.0867992308096,39.90849726424197,40.3789505866483,0.7078486441613039,0.2001661052618986
Polarization_minseg5_K3_AR2,Polarization,5,2024-12,34.93691958961276,39.90849726424197,38.87775562150247,-3.94083603188972,-1.1143933190883737
Polarization_minseg6_K3_AR2,Polarization,6,2022-03,19.968979886147597,28.104975368333957,26.388771658018946,-6.419791771871351,-1.6693882947512004
Polarization_minseg6_K3_AR2,Polarization,6,2022-04,29.187411939676807,28.104975368333957,32.01377472664614,-2.826362786969332,-0.7349610580767503
Polarization_minseg6_K3_AR2,Polarization,6,2022-05,36.70169823824752,28.104975368333957,30.554957666572918,6.146740571674606,1.5983846713200716
Polarization_minseg6_K3_AR2,Polarization,6,2022-06,14.150831658218094,28.104975368333957,21.538616720108603,-7.38778506189051,-1.9211031050097023
Polarization_minseg6_K3_AR2,Polarization,6,2022-07,39.69731341333724,28.104975368333957,34.66218774619828,5.035125667138962,1.3093228176266705
Polarization_minseg6_K3_AR2,Polarization,6,2022-08,23.493171991639585,28.104975368333957,25.356113276642247,-1.8629412850026608,-0.48443508535879726
Polarization_minseg6_K3_AR2,Polarization,6,2022-09,40.33633774456976,37.77222600928037,36.47291253195861,3.86342521261115,1.004636451892223
Polarization_minseg6_K3_AR2,Polarization,6,2022-10,39.34476896622999,37.77222600928037,37.768390910983975,1.5763780552460183,0.4099178239800236
Polarization_minseg6_K3_AR2,Polarization,6,2022-11,35.68709475730685,37.77222600928037,35.63383538439302,0.05325937291383642,0.0138494482200675
