model_id,series,year_month,observed,structural_regime_mean,one_step_ar_fitted,standardized_innovation
Polarization_focused_1_K3_AR2,Polarization,2022-03,19.968979886147597,28.20200642043469,26.104975631831863,-1.7351426472992066
Polarization_focused_1_K3_AR2,Polarization,2022-04,29.187411939676807,28.20200642043469,32.62665047959001,-0.9725511086013591
Polarization_focused_1_K3_AR2,Polarization,2022-05,36.70169823824752,28.20200642043469,30.763452702172778,1.679222657060105
Polarization_focused_1_K3_AR2,Polarization,2022-06,14.150831658218094,28.20200642043469,20.88797673181859,-1.9051362195725177
Polarization_focused_1_K3_AR2,Polarization,2022-07,39.69731341333724,28.20200642043469,36.15610663652784,1.0013857825225305
Polarization_focused_1_K3_AR2,Polarization,2022-08,23.493171991639585,28.20200642043469,24.593687368925988,-0.3112047733216393
Polarization_focused_1_K3_AR2,Polarization,2022-09,40.33633774456976,37.273519261377785,36.40732961666263,1.1110486132771307
Polarization_focused_1_K3_AR2,Polarization,2022-10,39.34476896622999,37.273519261377785,36.7062761934727,0.7461154675379207
Polarization_focused_1_K3_AR2,Polarization,2022-11,35.68709475730685,37.273519261377785,34.338286929274844,0.38141714603949156
Polarization_focused_1_K3_AR2,Polarization,2022-12,41.621635424008375,37.273519261377785,37.71753470643063,1.1040052723610803
Polarization_focused_1_K3_AR2,Polarization,2023-01,31.79647862160208,37.273519261377785,34.385803028079636,-0.7322115906830516
Polarization_focused_1_K3_AR2,Polarization,2023-02,35.38737231922933,37.273519261377785,39.951226636133235,-1.290571015615569
Polarization_focused_1_K3_AR2,Polarization,2023-03,37.12578446744588,37.273519261377785,41.04430966481144,-1.1080842403203623
Polarization_focused_1_K3_AR2,Polarization,2023-04,32.49789947029008,28.742861655944164,29.633378234284365,0.8100320089341057
Polarization_focused_1_K3_AR2,Polarization,2023-05,27.49930123577101,28.742861655944164,25.749784264150605,0.49473005449318364
Polarization_focused_1_K3_AR2,Polarization,2023-06,25.71324208038159,28.742861655944164,28.220342908302705,-0.7089603298152153
Polarization_focused_1_K3_AR2,Polarization,2023-07,29.383080146555763,28.742861655944164,31.71432967515588,-0.6592329340213953
Polarization_focused_1_K3_AR2,Polarization,2023-08,29.781083213550914,28.742861655944164,29.45969664787535,0.09088199527597784
Polarization_focused_1_K3_AR2,Polarization,2023-09,41.271931705613255,39.90849726424197,38.80277121067671,0.698231526774477
Polarization_focused_1_K3_AR2,Polarization,2023-10,40.78014034512094,39.90849726424197,38.37576148924684,0.6799125139592787
Polarization_focused_1_K3_AR2,Polarization,2023-11,35.94284144791523,39.90849726424197,38.6428316247645,-0.7635057612996513
Polarization_focused_1_K3_AR2,Polarization,2023-12,40.423281061443845,39.90849726424197,42.777163144394265,-0.6656329890243896
