model_id,series,minseglen,n_breakpoints,ar_order,break_onset_indices_1based,break_onset_dates,log_likelihood,raw_fitted_model_bic,break_location_penalty,joint_selection_bic,innovation_variance,standardized_innovation_acf_lag1,standardized_innovation_acf_lag2,ljung_box_stat_lag4,ljung_box_p_lag4,ljung_box_stat_lag8,ljung_box_p_lag8,runs_reaching_best,total_runs,best_recovery_rate,coefficient_names,coefficient_values
Polarization_minseg3_K3_AR2,Polarization,3,3,2,7|14|19,2022-09|2023-04|2023-09,-91.57396147132162,207.83244661495638,10.579081573848484,218.41152818880488,12.505461720141296,0.01967497100178033,-0.21408835639493703,4.420313840633727,0.10968343560554918,9.307047646071535,0.15703201766867253,3,10,0.3,ar1|ar2|regime_1_level|shift_at_7|shift_at_14|shift_at_19,-0.813152610438|-0.408444129027|28.2020064204|9.07151284094|-8.53065760543|11.1656356083
Polarization_minseg4_K3_AR2,Polarization,4,3,2,7|14|19,2022-09|2023-04|2023-09,-91.57396147132162,207.83244661495638,10.579081573848484,218.41152818880488,12.505461720141296,0.01967497100178033,-0.21408835639493703,4.420313840633727,0.10968343560554918,9.307047646071535,0.15703201766867253,6,10,0.6,ar1|ar2|regime_1_level|shift_at_7|shift_at_14|shift_at_19,-0.813152610438|-0.408444129027|28.2020064204|9.07151284094|-8.53065760543|11.1656356083
Polarization_minseg5_K3_AR2,Polarization,5,3,2,7|14|19,2022-09|2023-04|2023-09,-91.57396147132162,207.83244661495638,10.579081573848484,218.41152818880488,12.505461720141296,0.01967497100178033,-0.21408835639493703,4.420313840633727,0.10968343560554918,9.307047646071535,0.15703201766867253,7,10,0.7,ar1|ar2|regime_1_level|shift_at_7|shift_at_14|shift_at_19,-0.813152610438|-0.408444129027|28.2020064204|9.07151284094|-8.53065760543|11.1656356083
Polarization_minseg6_K3_AR2,Polarization,6,3,2,7|13|19,2022-09|2023-03|2023-09,-94.36172728386957,213.40797824005227,10.579081573848484,223.98705981390077,14.788603173147564,-0.01930888485254745,-0.2402665628633666,5.687178810038997,0.05821632850903261,9.659360204155076,0.13974960092579355,4,10,0.4,ar1|ar2|regime_1_level|shift_at_7|shift_at_13|shift_at_19,-0.713945338358|-0.396114138642|28.1049753683|9.66725064095|-7.98134343594|10.0810141898
Party Brand Index_minseg3_K1_AR0,Party Brand Index,3,1,0,19,2023-09,-100.68830296333647,211.95568750052144,3.5263605246161616,215.4820480251376,21.86668584578013,-0.002723212637637904,0.060234099648169406,4.463982486633377,0.3468396144673788,11.771771229184733,0.1616810600743033,10,10,1.0,regime_1_level|shift_at_19,53.7194565756|7.57856484038
Party Brand Index_minseg4_K1_AR0,Party Brand Index,4,1,0,19,2023-09,-100.68830296333647,211.95568750052144,3.5263605246161616,215.4820480251376,21.86668584578013,-0.002723212637637904,0.060234099648169406,4.463982486633377,0.3468396144673788,11.771771229184733,0.1616810600743033,10,10,1.0,regime_1_level|shift_at_19,53.7194565756|7.57856484038
Party Brand Index_minseg5_K1_AR0,Party Brand Index,5,1,0,19,2023-09,-100.68830296333647,211.95568750052144,3.5263605246161616,215.4820480251376,21.86668584578013,-0.002723212637637904,0.060234099648169406,4.463982486633377,0.3468396144673788,11.771771229184733,0.1616810600743033,10,10,1.0,regime_1_level|shift_at_19,53.7194565756|7.57856484038
Party Brand Index_minseg6_K1_AR0,Party Brand Index,6,1,0,19,2023-09,-100.68830296333647,211.95568750052144,3.5263605246161616,215.4820480251376,21.86668584578013,-0.002723212637637904,0.060234099648169406,4.463982486633377,0.3468396144673788,11.771771229184733,0.1616810600743033,10,10,1.0,regime_1_level|shift_at_19,53.7194565756|7.57856484038
